"Date(UTC)","UnixTimeStamp","Value (Wei)"
"3/10/2022","1646870400","90728647163"
"3/11/2022","1646956800","76377158438"
"3/12/2022","1647043200","70668861338"
"3/13/2022","1647129600","75150337354"
"3/14/2022","1647216000","76756524714"
"3/15/2022","1647302400","83878383810"
"3/16/2022","1647388800","97986031345"
"3/17/2022","1647475200","76840744002"
"3/18/2022","1647561600","67485147630"
"3/19/2022","1647648000","71726001760"
"3/20/2022","1647734400","74367514045"
"3/21/2022","1647820800","69387665252"
"3/22/2022","1647907200","75798699647"
"3/23/2022","1647993600","70087369836"
"3/24/2022","1648080000","81961380356"
"3/25/2022","1648166400","67882314919"
"3/26/2022","1648252800","59953018264"
"3/27/2022","1648339200","76631264530"
"3/28/2022","1648425600","80295794448"
"3/29/2022","1648512000","77399475068"
"3/30/2022","1648598400","72708810625"
"3/31/2022","1648684800","89117959320"
"4/1/2022","1648771200","71353623746"
"4/2/2022","1648857600","68550354045"
"4/3/2022","1648944000","64926069266"
"4/4/2022","1649030400","70843448234"
"4/5/2022","1649116800","66124237623"
"4/6/2022","1649203200","85089226753"
"4/7/2022","1649289600","77217153607"
"4/8/2022","1649376000","75532511292"
"4/9/2022","1649462400","63708778590"
"4/10/2022","1649548800","64763021433"
"4/11/2022","1649635200","83179628555"
"4/12/2022","1649721600","75134792721"
"4/13/2022","1649808000","92169837648"
"4/14/2022","1649894400","70426786876"
"4/15/2022","1649980800","94492106896"
"4/16/2022","1650067200","83701403056"
"4/17/2022","1650153600","79387003712"
"4/18/2022","1650240000","105395311785"
"4/19/2022","1650326400","92096709487"
"4/20/2022","1650412800","90475519014"
"4/21/2022","1650499200","100331979607"
"4/22/2022","1650585600","84119989502"
"4/23/2022","1650672000","76630203194"
"4/24/2022","1650758400","77337613840"
"4/25/2022","1650844800","151630225312"
"4/26/2022","1650931200","89470418499"
"4/27/2022","1651017600","97560675992"
"4/28/2022","1651104000","105236933024"
"4/29/2022","1651190400","96514223858"
"4/30/2022","1651276800","137761805465"
"5/1/2022","1651363200","93905572131"
"5/2/2022","1651449600","84145513429"
"5/3/2022","1651536000","90034408162"
"5/4/2022","1651622400","98675323836"
"5/5/2022","1651708800","127435303603"
"5/6/2022","1651795200","150073694541"
"5/7/2022","1651881600","106951374987"
"5/8/2022","1651968000","121722058938"
"5/9/2022","1652054400","523878964575"
"5/10/2022","1652140800","317079457638"
"5/11/2022","1652227200","1382269947098"
"5/12/2022","1652313600","1085463403847"
"5/13/2022","1652400000","170619020757"
"5/14/2022","1652486400","96998698522"
"5/15/2022","1652572800","94430880165"
"5/16/2022","1652659200","116647324695"
